symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2020-08-21 00:00:00+00:00,3.79,3.93,3.67,3.78,200541,3.79,3.93,3.67,3.78,200541,0.0,1.0
TCS,2020-08-24 00:00:00+00:00,4.12,4.18,3.77,3.77,332040,4.12,4.18,3.77,3.77,332040,0.0,1.0
TCS,2020-08-25 00:00:00+00:00,4.01,4.28,3.99,4.12,372350,4.01,4.28,3.99,4.12,372350,0.0,1.0
TCS,2020-08-26 00:00:00+00:00,3.94,4.16,3.92,4.03,111552,3.94,4.16,3.92,4.03,111552,0.0,1.0
TCS,2020-08-27 00:00:00+00:00,3.96,4.1,3.9058,3.95,179817,3.96,4.1,3.9058,3.95,179817,0.0,1.0
TCS,2020-08-28 00:00:00+00:00,4.23,4.3,3.95,3.95,314707,4.23,4.3,3.95,3.95,314707,0.0,1.0
TCS,2020-08-31 00:00:00+00:00,4.25,4.35,4.11,4.25,282312,4.25,4.35,4.11,4.25,282312,0.0,1.0
TCS,2020-09-01 00:00:00+00:00,4.49,4.59,4.15,4.22,687109,4.49,4.59,4.15,4.22,687109,0.0,1.0
TCS,2020-09-02 00:00:00+00:00,4.35,4.5133,4.3,4.48,230487,4.35,4.5133,4.3,4.48,230487,0.0,1.0
TCS,2020-09-03 00:00:00+00:00,4.19,4.51,4.18,4.33,274657,4.19,4.51,4.18,4.33,274657,0.0,1.0
TCS,2020-09-04 00:00:00+00:00,4.06,4.35,3.989,4.18,307849,4.06,4.35,3.989,4.18,307849,0.0,1.0
TCS,2020-09-08 00:00:00+00:00,3.9,4.07,3.9,4.06,179184,3.9,4.07,3.9,4.06,179184,0.0,1.0
TCS,2020-09-09 00:00:00+00:00,3.73,4.01,3.7,3.88,220179,3.73,4.01,3.7,3.88,220179,0.0,1.0
TCS,2020-09-10 00:00:00+00:00,3.95,4.0,3.76,3.76,264703,3.95,4.0,3.76,3.76,264703,0.0,1.0
TCS,2020-09-11 00:00:00+00:00,4.14,4.18,3.87,4.01,319820,4.14,4.18,3.87,4.01,319820,0.0,1.0
TCS,2020-09-14 00:00:00+00:00,4.83,5.0,4.2886,4.29,1348234,4.83,5.0,4.2886,4.29,1348234,0.0,1.0
TCS,2020-09-15 00:00:00+00:00,5.33,5.82,4.81,4.95,1273380,5.33,5.82,4.81,4.95,1273380,0.0,1.0
TCS,2020-09-16 00:00:00+00:00,5.92,6.39,5.3,5.3,2029029,5.92,6.39,5.3,5.3,2029029,0.0,1.0
TCS,2020-09-17 00:00:00+00:00,6.19,6.69,5.72,5.97,2107093,6.19,6.69,5.72,5.97,2107093,0.0,1.0
TCS,2020-09-18 00:00:00+00:00,6.05,6.6,6.04,6.4,2272595,6.05,6.6,6.04,6.4,2272595,0.0,1.0
TCS,2020-09-21 00:00:00+00:00,6.58,6.85,6.11,6.3,1682503,6.58,6.85,6.11,6.3,1682503,0.0,1.0
TCS,2020-09-22 00:00:00+00:00,7.09,7.355,6.52,6.62,1721796,7.09,7.355,6.52,6.62,1721796,0.0,1.0
TCS,2020-09-23 00:00:00+00:00,6.22,7.35,6.11,7.02,1799287,6.22,7.35,6.11,7.02,1799287,0.0,1.0
TCS,2020-09-24 00:00:00+00:00,6.24,6.55,6.02,6.19,670264,6.24,6.55,6.02,6.19,670264,0.0,1.0
TCS,2020-09-25 00:00:00+00:00,6.12,6.45,5.98,6.25,606404,6.12,6.45,5.98,6.25,606404,0.0,1.0
TCS,2020-09-28 00:00:00+00:00,6.17,6.55,6.14,6.19,579799,6.17,6.55,6.14,6.19,579799,0.0,1.0
TCS,2020-09-29 00:00:00+00:00,6.49,7.09,6.27,6.27,1373156,6.49,7.09,6.27,6.27,1373156,0.0,1.0
TCS,2020-09-30 00:00:00+00:00,6.21,6.66,6.08,6.47,1238083,6.21,6.66,6.08,6.47,1238083,0.0,1.0
TCS,2020-10-01 00:00:00+00:00,7.79,7.82,6.32,6.32,3957436,7.79,7.82,6.32,6.32,3957436,0.0,1.0
TCS,2020-10-02 00:00:00+00:00,7.93,8.15,7.31,7.43,1691162,7.93,8.15,7.31,7.43,1691162,0.0,1.0
TCS,2020-10-05 00:00:00+00:00,8.7,8.72,8.0201,8.12,2475190,8.7,8.72,8.0201,8.12,2475190,0.0,1.0
TCS,2020-10-06 00:00:00+00:00,9.0,9.32,8.65,8.77,1785145,9.0,9.32,8.65,8.77,1785145,0.0,1.0
TCS,2020-10-07 00:00:00+00:00,8.8,9.72,8.26,9.16,1731500,8.8,9.72,8.26,9.16,1731500,0.0,1.0
TCS,2020-10-08 00:00:00+00:00,8.57,9.32,8.2,8.77,1446699,8.57,9.32,8.2,8.77,1446699,0.0,1.0
TCS,2020-10-09 00:00:00+00:00,8.55,8.84,8.3838,8.55,549521,8.55,8.84,8.3838,8.55,549521,0.0,1.0
TCS,2020-10-12 00:00:00+00:00,8.49,8.74,8.42,8.63,447354,8.49,8.74,8.42,8.63,447354,0.0,1.0
TCS,2020-10-13 00:00:00+00:00,8.75,9.09,8.3041,8.48,695584,8.75,9.09,8.3041,8.48,695584,0.0,1.0
TCS,2020-10-14 00:00:00+00:00,8.9,8.99,8.55,8.86,466281,8.9,8.99,8.55,8.86,466281,0.0,1.0
TCS,2020-10-15 00:00:00+00:00,9.45,9.55,8.58,8.65,838100,9.45,9.55,8.58,8.65,838100,0.0,1.0
TCS,2020-10-16 00:00:00+00:00,9.14,9.445,8.91,9.44,587132,9.14,9.445,8.91,9.44,587132,0.0,1.0
TCS,2020-10-19 00:00:00+00:00,9.16,9.49,9.0801,9.22,926798,9.16,9.49,9.0801,9.22,926798,0.0,1.0
TCS,2020-10-20 00:00:00+00:00,10.05,10.48,9.04,9.27,2316329,10.05,10.48,9.04,9.27,2316329,0.0,1.0
TCS,2020-10-21 00:00:00+00:00,8.95,11.8799,8.94,11.21,6739025,8.95,11.8799,8.94,11.21,6739025,0.0,1.0
TCS,2020-10-22 00:00:00+00:00,9.51,9.54,8.25,8.77,2085701,9.51,9.54,8.25,8.77,2085701,0.0,1.0
TCS,2020-10-23 00:00:00+00:00,9.84,10.19,9.52,9.52,1843639,9.84,10.19,9.52,9.52,1843639,0.0,1.0
TCS,2020-10-26 00:00:00+00:00,9.12,10.0,8.72,9.775,1443976,9.12,10.0,8.72,9.775,1443976,0.0,1.0
TCS,2020-10-27 00:00:00+00:00,9.24,9.44,8.938,9.24,883620,9.24,9.44,8.938,9.24,883620,0.0,1.0
TCS,2020-10-28 00:00:00+00:00,8.82,9.19,8.43,8.98,1026499,8.82,9.19,8.43,8.98,1026499,0.0,1.0
TCS,2020-10-29 00:00:00+00:00,9.55,9.78,8.81,8.81,1181928,9.55,9.78,8.81,8.81,1181928,0.0,1.0
TCS,2020-10-30 00:00:00+00:00,9.52,9.6252,8.91,9.41,900046,9.52,9.6252,8.91,9.41,900046,0.0,1.0
TCS,2020-11-02 00:00:00+00:00,9.44,10.02,9.1,9.57,1221954,9.44,10.02,9.1,9.57,1221954,0.0,1.0
TCS,2020-11-03 00:00:00+00:00,9.52,9.77,9.24,9.69,701399,9.52,9.77,9.24,9.69,701399,0.0,1.0
TCS,2020-11-04 00:00:00+00:00,9.71,9.9,9.33,9.47,863585,9.71,9.9,9.33,9.47,863585,0.0,1.0
TCS,2020-11-05 00:00:00+00:00,10.19,10.94,10.05,10.4,1293535,10.19,10.94,10.05,10.4,1293535,0.0,1.0
TCS,2020-11-06 00:00:00+00:00,9.74,10.36,9.64,10.05,895429,9.74,10.36,9.64,10.05,895429,0.0,1.0
TCS,2020-11-09 00:00:00+00:00,9.46,10.75,9.29,10.75,1281307,9.46,10.75,9.29,10.75,1281307,0.0,1.0
TCS,2020-11-10 00:00:00+00:00,10.1,10.55,9.31,9.5,1257174,10.1,10.55,9.31,9.5,1257174,0.0,1.0
TCS,2020-11-11 00:00:00+00:00,10.04,10.343,9.54,10.05,782481,10.04,10.343,9.54,10.05,782481,0.0,1.0
TCS,2020-11-12 00:00:00+00:00,9.98,10.4,9.81,10.04,769983,9.98,10.4,9.81,10.04,769983,0.0,1.0
TCS,2020-11-13 00:00:00+00:00,9.98,10.42,9.86,10.15,578671,9.98,10.42,9.86,10.15,578671,0.0,1.0
TCS,2020-11-16 00:00:00+00:00,9.74,10.1,9.6,10.08,648689,9.74,10.1,9.6,10.08,648689,0.0,1.0
TCS,2020-11-17 00:00:00+00:00,9.75,10.25,9.52,9.63,1550587,9.75,10.25,9.52,9.63,1550587,0.0,1.0
TCS,2020-11-18 00:00:00+00:00,9.69,10.15,9.55,9.75,721634,9.69,10.15,9.55,9.75,721634,0.0,1.0
TCS,2020-11-19 00:00:00+00:00,10.38,10.59,9.55,9.6,3324124,10.38,10.59,9.55,9.6,3324124,0.0,1.0
TCS,2020-11-20 00:00:00+00:00,11.1,11.33,10.61,10.75,2823841,11.1,11.33,10.61,10.75,2823841,0.0,1.0
TCS,2020-11-23 00:00:00+00:00,9.31,11.4362,9.18,11.26,4226171,9.31,11.4362,9.18,11.26,4226171,0.0,1.0
TCS,2020-11-24 00:00:00+00:00,9.27,9.46,8.78,9.46,2889549,9.27,9.46,8.78,9.46,2889549,0.0,1.0
TCS,2020-11-25 00:00:00+00:00,9.13,9.3914,8.75,9.16,950610,9.13,9.3914,8.75,9.16,950610,0.0,1.0
TCS,2020-11-27 00:00:00+00:00,9.58,9.84,9.03,9.06,928207,9.58,9.84,9.03,9.06,928207,0.0,1.0
TCS,2020-11-30 00:00:00+00:00,9.3,9.73,8.91,9.64,1371277,9.3,9.73,8.91,9.64,1371277,0.0,1.0
TCS,2020-12-01 00:00:00+00:00,9.39,9.715,9.12,9.51,669514,9.39,9.715,9.12,9.51,669514,0.0,1.0
TCS,2020-12-02 00:00:00+00:00,9.5,9.885,9.07,9.25,977167,9.5,9.885,9.07,9.25,977167,0.0,1.0
TCS,2020-12-03 00:00:00+00:00,9.64,9.84,9.32,9.48,776277,9.64,9.84,9.32,9.48,776277,0.0,1.0
TCS,2020-12-04 00:00:00+00:00,9.97,10.28,9.51,9.7,1618086,9.97,10.28,9.51,9.7,1618086,0.0,1.0
TCS,2020-12-07 00:00:00+00:00,9.79,10.05,9.4,10.05,930210,9.79,10.05,9.4,10.05,930210,0.0,1.0
